ICD-10 Code,MedDRA LLT,Map Attribute,Wikidata ID
A00,10008631,Equivalent,
A00.0,10080446,Equivalent,
A00.1,10008633,Equivalent,Q18971615
A00.9,10008634,Equivalent,
A01,10045275,Equivalent,
A01.0,10045275,Equivalent,
A01.1,10033972,Equivalent,Q12327931
A01.2,10033973,Equivalent,Q5861623
A01.3,10033974,Equivalent,Q5861625
A01.4,10033975,Equivalent,
A02,10039447,Equivalent,Q18967963
A02.0,10039433,Equivalent,Q4073320
A02.1,10058878,Equivalent,Q12775774
A02.2,10024782,Equivalent,
A02.8,10039447,Equivalent,
A02.9,10039437,Equivalent,
A03,10040553,Equivalent,
A03.0,10040546,Equivalent,
A03.1,10040548,Equivalent,
A03.2,10039342,Equivalent,
A03.3,10040552,Equivalent,
A03.8,10040553,Equivalent,
A03.9,10040554,Equivalent,Q3778137
A04,10068306,Equivalent,
A04.0,10014906,Equivalent,Q13419512
A04.1,10083587,Equivalent,Q265214
A04.2,10022663,Equivalent,Q5380236
A04.3,10055861,Equivalent,Q1344603
A04.4,10017903,Equivalent,
A04.5,10053137,Equivalent,Q683861
A04.6,10022677,Equivalent,Q18967048
A04.7,10087449,Equivalent,Q55011690
A04.8,10068306,Equivalent,Q139928
A04.9,10068306,Equivalent,
A05,10004022,Equivalent,Q12360150
A05.0,10041921,Equivalent,
A05.1,10006041,Equivalent,Q154865
A05.2,10016953,Equivalent,Q2373700
A05.3,10016955,Equivalent,
A05.4,10003976,Equivalent,
A05.8,10004022,Equivalent,
A05.9,10004022,Equivalent,
A06,10001980,Equivalent,Q6677638
A06.2,10057699,Equivalent,Q19001301
A06.3,10086745,Equivalent,
A06.4,10001989,Equivalent,Q2820891
A06.5,10001990,Equivalent,
A06.6,10001984,Equivalent,Q5596834
A06.7,10001992,Equivalent,Q5196686
A06.8,10001980,Equivalent,
A06.9,10001983,Equivalent,
A07,10061175,Equivalent,
A07.0,10004080,Equivalent,
A07.1,10018261,Equivalent,
A07.2,10011501,Equivalent,
A07.3,10023076,Equivalent,Q428447
A07.8,10061175,Equivalent,
A07.9,10046118,Equivalent,Q129279
A08.0,10014874,Equivalent,Q7370337
A08.2,10014867,Equivalent,
A08.4,10069049,Equivalent,
A08.5,10017964,Equivalent,
A15,10037440,Equivalent,
A15.0,10037440,Equivalent,Q18967082
A15.1,10037440,Equivalent,
A15.2,10037440,Equivalent,
A15.3,10037440,Equivalent,
A15.4,10044846,Equivalent,
A15.6,10045104,Equivalent,
A15.7,10037440,Equivalent,Q18966256
A15.8,10037440,Equivalent,
A15.9,10037440,Equivalent,
A16,10037440,Equivalent,
A16.0,10037440,Equivalent,
A16.1,10037440,Equivalent,
A16.2,10037440,Equivalent,
A16.3,10044846,Equivalent,
A16.5,10045104,Equivalent,
A16.7,10037440,Equivalent,Q18966256
A16.8,10032445,Equivalent,
A16.9,10032445,Equivalent,
A17,10061391,Equivalent,
A17.0,10045080,Equivalent,Q3854687
A17.1,10044739,Equivalent,
A17.8,10061391,Equivalent,Q18966257
A17.9,10046190,Equivalent,
A18,10064445,Equivalent,Q18553330
A18.0,10056367,Equivalent,Q2723627
A18.1,10044828,Equivalent,
A18.2,10044965,Equivalent,Q19001246
A18.4,10040939,Equivalent,Q12794230
A18.5,10044819,Equivalent,
A18.6,10044795,Equivalent,
A18.7,10044768,Equivalent,
A18.8,10064445,Equivalent,
A19,10027630,Equivalent,
A19.0,10000862,Equivalent,
A19.1,10000862,Equivalent,
A19.2,10000862,Equivalent,
A19.8,10027630,Equivalent,
A19.9,10027632,Equivalent,
A20,10035148,Equivalent,Q133780
A20.0,10006520,Equivalent,
A20.1,10007924,Equivalent,Q18966505
A20.2,10053026,Equivalent,
A20.3,10080431,Equivalent,Q18924565
A20.7,10040088,Equivalent,
A20.8,10035148,Equivalent,Q18553201
A20.9,10035149,Equivalent,
A21,10045146,Equivalent,Q153861
A21.0,10060428,Equivalent,
A21.1,10060403,Equivalent,
A21.2,10060408,Equivalent,
A21.3,10060370,Equivalent,
A21.7,10080448,Equivalent,
A21.8,10045146,Equivalent,
A21.9,10060438,Equivalent,
A22,10002713,Equivalent,
A22.0,10011660,Equivalent,
A22.1,10037321,Equivalent,Q18553223
A22.2,10017931,Equivalent,
A22.7,10058873,Equivalent,Q18966658
A22.8,10002713,Equivalent,
A22.9,10002716,Equivalent,
A23,10006500,Equivalent,
A23.0,10006497,Equivalent,
A23.1,10006493,Equivalent,Q2153391
A23.2,10006499,Equivalent,Q18554000
A23.3,10006494,Equivalent,
A23.8,10006500,Equivalent,
A23.9,10006500,Equivalent,
A24.0,10018298,Equivalent,
A24.3,10027165,Equivalent,
A24.4,10027165,Equivalent,
A25,10037904,Equivalent,Q2754970
A25.0,10037906,Equivalent,
A25.1,10037907,Equivalent,
A25.9,10037905,Equivalent,
A26,10015146,Equivalent,Q1607983
A26.0,10015146,Equivalent,
A26.7,10080432,Equivalent,
A26.8,10015146,Equivalent,
A26.9,10015146,Equivalent,
A27,10024238,Equivalent,
A27.0,10024239,Equivalent,Q13454801
A27.8,10024238,Equivalent,
A27.9,10024241,Equivalent,
A28,10061417,Equivalent,
A28.0,10034113,Equivalent,
A28.1,10007731,Equivalent,
A28.2,10080444,Equivalent,
A28.8,10061417,Equivalent,Q3270160
